Starting training on 'adult' dataset...
Number of features (actions): 14
------------------------------
Episode 5300 | Feature: relationship         | Reward:   0.1800 | Acc: 0.7067 | DPG: 0.3377 | Loss:   0.0079
Episode 5400 | Feature: relationship         | Reward:   0.1833 | Acc: 0.7600 | DPG: 0.5470 | Loss:   0.0101
Episode 5500 | Feature: native.country       | Reward:   0.0117 | Acc: 0.8033 | DPG: 0.0000 | Loss:   0.0391
Episode 5600 | Feature: relationship         | Reward:   0.1833 | Acc: 0.6900 | DPG: 0.3459 | Loss:   0.0054
Episode 5700 | Feature: relationship         | Reward:   0.1600 | Acc: 0.7067 | DPG: 0.3011 | Loss:   0.0008
Episode 5800 | Feature: relationship         | Reward:   0.1767 | Acc: 0.6800 | DPG: 0.2646 | Loss:   0.0080
Episode 5900 | Feature: relationship         | Reward:   0.1583 | Acc: 0.7700 | DPG: 0.2149 | Loss:   0.0002
Episode 6000 | Feature: relationship         | Reward:   0.1983 | Acc: 0.7033 | DPG: 0.3968 | Loss:   0.0023
Episode 6100 | Feature: relationship         | Reward:   0.1800 | Acc: 0.6967 | DPG: 0.5246 | Loss:   0.0014
Episode 6200 | Feature: relationship         | Reward:   0.2233 | Acc: 0.6667 | DPG: 0.3851 | Loss:   0.0079
Episode 6300 | Feature: relationship         | Reward:   0.1933 | Acc: 0.7200 | DPG: 0.2626 | Loss:   0.0012
Episode 6400 | Feature: relationship         | Reward:   0.1967 | Acc: 0.6933 | DPG: 0.3375 | Loss:   0.0024
Episode 6500 | Feature: capital.gain         | Reward:   0.0050 | Acc: 0.8333 | DPG: 0.0000 | Loss:   0.0178
Episode 6600 | Feature: relationship         | Reward:   0.1800 | Acc: 0.7000 | DPG: 0.2654 | Loss:   0.0016
Episode 6700 | Feature: education.num        | Reward:   0.0833 | Acc: 0.7800 | DPG: 0.1183 | Loss:   0.2120
Episode 6800 | Feature: relationship         | Reward:   0.1550 | Acc: 0.7233 | DPG: 0.3273 | Loss:   0.0031
Episode 6900 | Feature: relationship         | Reward:   0.1917 | Acc: 0.7400 | DPG: 0.4895 | Loss:   0.0026
Episode 7000 | Feature: relationship         | Reward:   0.1700 | Acc: 0.7000 | DPG: 0.2487 | Loss:   0.0046
Episode 7100 | Feature: relationship         | Reward:   0.2083 | Acc: 0.6933 | DPG: 0.4114 | Loss:   0.0069
Episode 7200 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7267 | DPG: 0.1904 | Loss:   0.0018
Episode 7300 | Feature: relationship         | Reward:   0.1733 | Acc: 0.7367 | DPG: 0.2874 | Loss:   0.0011
Episode 7400 | Feature: relationship         | Reward:   0.2267 | Acc: 0.6800 | DPG: 0.2657 | Loss:   0.0031
Episode 7500 | Feature: relationship         | Reward:   0.1683 | Acc: 0.7067 | DPG: 0.2764 | Loss:   0.0006
Episode 7600 | Feature: relationship         | Reward:   0.1883 | Acc: 0.7000 | DPG: 0.2333 | Loss:   0.0005
Episode 7700 | Feature: relationship         | Reward:   0.1767 | Acc: 0.7100 | DPG: 0.3043 | Loss:   0.0003
Episode 7800 | Feature: education.num        | Reward:   0.0983 | Acc: 0.7800 | DPG: 0.0765 | Loss:   0.1508
Episode 7900 | Feature: relationship         | Reward:   0.1633 | Acc: 0.7233 | DPG: 0.3743 | Loss:   0.0016
Episode 8000 | Feature: relationship         | Reward:   0.1750 | Acc: 0.7067 | DPG: 0.3248 | Loss:   0.0009
Episode 8100 | Feature: relationship         | Reward:   0.1817 | Acc: 0.7300 | DPG: 0.3535 | Loss:   0.0009
Episode 8200 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7100 | DPG: 0.2722 | Loss:   0.0002
Episode 8300 | Feature: relationship         | Reward:   0.1867 | Acc: 0.7067 | DPG: 0.3281 | Loss:   0.0013
Episode 8400 | Feature: relationship         | Reward:   0.1650 | Acc: 0.6700 | DPG: 0.2421 | Loss:   0.0001
Episode 8500 | Feature: relationship         | Reward:   0.1967 | Acc: 0.7167 | DPG: 0.3388 | Loss:   0.0021
Episode 8600 | Feature: relationship         | Reward:   0.1800 | Acc: 0.6967 | DPG: 0.2614 | Loss:   0.0022
Episode 8700 | Feature: relationship         | Reward:   0.2067 | Acc: 0.7167 | DPG: 0.3000 | Loss:   0.0056
Episode 8800 | Feature: relationship         | Reward:   0.1600 | Acc: 0.7233 | DPG: 0.2991 | Loss:   0.0012
Episode 8900 | Feature: relationship         | Reward:   0.1917 | Acc: 0.7200 | DPG: 0.2807 | Loss:   0.0047
Episode 9000 | Feature: relationship         | Reward:   0.2117 | Acc: 0.7433 | DPG: 0.2494 | Loss:   0.0033
Episode 9100 | Feature: relationship         | Reward:   0.1450 | Acc: 0.7033 | DPG: 0.3529 | Loss:   0.0012
Episode 9200 | Feature: relationship         | Reward:   0.1850 | Acc: 0.7267 | DPG: 0.3643 | Loss:   0.0263
Episode 9300 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7067 | DPG: 0.2786 | Loss:   0.0083
Episode 9400 | Feature: relationship         | Reward:   0.1483 | Acc: 0.7133 | DPG: 0.2174 | Loss:   0.0011
Episode 9500 | Feature: relationship         | Reward:   0.2017 | Acc: 0.7267 | DPG: 0.3310 | Loss:   0.0083
Episode 9600 | Feature: relationship         | Reward:   0.1983 | Acc: 0.6900 | DPG: 0.2980 | Loss:   0.0093
Episode 9700 | Feature: relationship         | Reward:   0.2000 | Acc: 0.7267 | DPG: 0.4225 | Loss:   0.0245
Episode 9800 | Feature: relationship         | Reward:   0.2000 | Acc: 0.6900 | DPG: 0.4963 | Loss:   0.0049
